id_route,type_route,distance,id_noeud1,id_noeud2
18793,b'D\xe9partementale',0.9,15680,15710
18796,b'D\xe9partementale',1.9,15683,15735
18797,b'D\xe9partementale',2.6,15684,15727
18798,b'D\xe9partementale',5.4,15685,15939
18810,b'D\xe9partementale',9.799999999999999,15829,15742
18813,b'D\xe9partementale',0.2,15699,15705
18814,b'D\xe9partementale',6.8,15700,16007
18815,b'D\xe9partementale',11.7,15700,16111
18819,b'D\xe9partementale',11.0,15705,15881
18820,b'D\xe9partementale',16.7,15705,16441
18821,b'D\xe9partementale',1.9,15706,15775
18825,Sans objet,0.8,15710,15720
18826,b'D\xe9partementale',4.3,15711,15740
18827,Sans objet,5.0,15711,15902
18829,Nationale,11.899999999999999,15713,16209
18830,b'D\xe9partementale',15.200000000000001,15713,16236
18834,b'D\xe9partementale',0.6,15717,15742
18835,Autoroute,3.1,15717,15812
18837,b'D\xe9partementale',3.0,15719,15887
18838,Autoroute,12.5,15720,16250
18841,b'D\xe9partementale',13.7,15895,15885
18846,b'D\xe9partementale',13.8,15727,16227
18847,b'D\xe9partementale',17.6,15727,16395
18853,Autoroute,23.4,15733,16417
18854,b'D\xe9partementale',3.1,15733,15816
18855,b'D\xe9partementale',3.4,15734,15902
18856,b'D\xe9partementale',0.4,15734,15740
18857,b'D\xe9partementale',3.9,15735,15933
18858,b'D\xe9partementale',16.7,15735,16261
18859,b'D\xe9partementale',7.199999999999999,16045,15738
18862,b'D\xe9partementale',20.8,15739,16560
18863,b'D\xe9partementale',12.5,15739,16274
18864,b'D\xe9partementale',1.3,15740,15831
18866,b'D\xe9partementale',3.1,15742,15812
18872,b'D\xe9partementale',5.3,15875,15749
18874,b'D\xe9partementale',12.4,15749,16275
18879,Sans objet,1.6,15754,15787
18880,b'D\xe9partementale',1.4,15754,15830
18881,Sans objet,1.6,15754,15816
18883,b'D\xe9partementale',1.2,15756,15766
18884,b'D\xe9partementale',0.5,15756,15777
18885,b'D\xe9partementale',0.5,15757,15765
18886,b'D\xe9partementale',1.6,15757,15777
18889,Nationale,4.5,15760,15909
18891,b'D\xe9partementale',0.3,15762,15774
18892,b'D\xe9partementale',0.5,15762,15779
18894,b'D\xe9partementale',7.300000000000001,15764,15858
18895,b'D\xe9partementale',2.3,15764,15859
18896,b'D\xe9partementale',2.5,15765,15783
18897,b'D\xe9partementale',3.5,15765,15820
18898,b'D\xe9partementale',0.2,15766,15770
18899,b'D\xe9partementale',1.2,15766,15806
18903,b'D\xe9partementale',8.1,15770,15797
18906,b'D\xe9partementale',2.0,15827,15774
18908,b'D\xe9partementale',2.6,15774,15907
18909,b'D\xe9partementale',17.0,15775,16453
18910,Sans objet,2.2,15776,15778
18911,b'D\xe9partementale',2.1,15776,15778
18912,b'D\xe9partementale',4.999999999999999,15776,15821
18913,b'D\xe9partementale',0.2,15777,15783
18915,b'D\xe9partementale',1.1,15778,15797
18916,b'D\xe9partementale',1.3,15779,15812
18920,b'D\xe9partementale',0.5,15783,15806
18925,b'D\xe9partementale',10.6,15787,15908
18926,b'D\xe9partementale',1.5,15787,15830
18928,b'D\xe9partementale',20.4,15845,15951
18937,b'D\xe9partementale',16.400000000000002,15797,16364
18942,b'D\xe9partementale',0.4,15801,15832
18945,Sans objet,1.3,15805,15849
18946,Sans objet,1.4,15805,15881
18947,b'D\xe9partementale',6.5,15806,16000
18950,b'D\xe9partementale',10.399999999999999,15809,15886
18951,b'D\xe9partementale',5.0,15809,16015
18953,b'D\xe9partementale',1.2,15811,15854
18954,b'D\xe9partementale',2.6,15811,15914
18955,Autoroute,2.5,15812,15907
18959,b'D\xe9partementale',1.3,15816,15830
18960,b'D\xe9partementale',17.5,15836,16032
18966,b'D\xe9partementale',12.1,16227,15834
18970,b'D\xe9partementale',11.999999999999998,15825,16120
18971,b'D\xe9partementale',17.700000000000003,15825,16133
18973,b'D\xe9partementale',1.7999999999999998,15827,15893
18975,b'D\xe9partementale',4.2,15831,15959
18976,b'D\xe9partementale',4.1,15831,15961
18977,b'D\xe9partementale',13.9,15832,16165
18978,b'D\xe9partementale',11.3,15832,16331
18980,b'D\xe9partementale',18.1,15834,16528
18985,b'D\xe9partementale',9.3,15939,15845
18987,Sans objet,0.7,15842,15842
18988,b'D\xe9partementale',5.8,15842,15937
18990,b'D\xe9partementale',25.4,15845,16710
18994,b'D\xe9partementale',1.1,15849,15891
18995,b'D\xe9partementale',1.7,15849,15922
19000,Sans objet,1.3,15854,15884
19001,b'D\xe9partementale',3.0,15854,15887
19003,b'D\xe9partementale',8.5,15856,15927
19006,Nationale,8.399999999999999,15858,16181
19007,b'D\xe9partementale',10.3,15859,16067
19008,b'D\xe9partementale',17.299999999999997,15859,16304
19017,Sans objet,3.1,15868,15914
19024,b'D\xe9partementale',9.399999999999999,15889,15985
19030,Sans objet,0.2,15881,15891
19033,Autoroute,1.7,15884,15940
19034,b'D\xe9partementale',5.7,15885,15996
19035,b'D\xe9partementale',4.3,15886,15895
19037,Nationale,8.5,15886,16015
19038,b'D\xe9partementale',2.5999999999999996,15887,15972
19042,Sans objet,0.5,15891,15911
19043,b'D\xe9partementale',4.5,15893,16035
19044,b'D\xe9partementale',1.7000000000000002,15893,15907
19046,b'D\xe9partementale',8.4,15895,16074
