id_noeud,lat,lon,id_station,lat_station,lon_station,distance_station,type_station,number_route,path1,path2
19754,348184.0,6636678.0,0,0,0,0,,3,23720,23737
19755,950444.0,6636673.0,0,0,0,0,,4,23304,23656
19756,348706.0,6636669.0,0,0,0,0,,3,23543,23721
19758,833561.0,6636611.0,0,0,0,0,,4,23624,23672
19761,736893.0,6636508.0,0,0,0,0,,3,23630,23730
19762,347613.0,6636439.0,0,0,0,0,,4,23686,23737
19763,734662.0,6636428.0,0,0,0,0,,3,23548,23750
19764,599697.0,6636364.0,0,0,0,0,,3,23626,23752
19765,603639.0,6636351.0,0,0,0,0,,3,23706,23734
19770,347998.0,6636195.0,0,0,0,0,,4,23738,23748
19771,600669.0,6636151.0,0,0,0,0,,3,23718,23752
19775,485274.0,6636066.0,0,0,0,0,,4,22981,23643
19776,599719.0,6636019.0,0,0,0,0,,3,23710,23753
19779,349929.0,6635965.0,0,0,0,0,,3,23741,23759
19780,534909.0,6635944.0,0,0,0,0,,4,23520,23609
19781,511412.0,6635835.0,0,0,0,0,,3,23728,23768
19786,866750.0,6635622.0,0,0,0,0,,4,23732,23777
19793,600624.0,6635532.0,0,0,0,0,,3,23761,23786
19795,454454.0,6635481.0,0,0,0,0,,3,23538,23726
19796,957868.0,6635477.0,0,0,0,0,,3,23762,23763
19798,482461.0,6635440.0,0,0,0,0,,3,23702,23765
19799,734353.0,6635426.0,0,0,0,0,,3,23751,23792
19800,839206.0,6635389.0,0,0,0,0,,3,22915,23794
19802,599724.0,6635384.0,0,0,0,0,,3,23767,23786
19806,693441.0,6635250.0,0,0,0,0,,3,23729,23801
19807,920860.0,6635154.0,0,0,0,0,,3,23151,23695
19808,601240.0,6635087.0,0,0,0,0,,3,23787,23804
19809,839783.0,6635074.0,0,0,0,0,,3,23369,23794
19811,652524.0,6635037.0,0,0,0,0,,4,23584,23781
19812,599111.0,6635035.0,0,0,0,0,,4,23797,23804
19813,534019.0,6635029.0,0,0,0,0,,3,23660,23807
19814,620205.0,6635028.0,0,0,0,0,,4,23706,23755
19815,847416.0,6634986.0,0,0,0,0,,3,23716,23785
19818,576328.0,6634930.0,0,0,0,0,,3,23446,23820
19819,576428.0,6634919.0,0,0,0,0,,3,23820,23822
19824,604360.0,6634771.0,0,0,0,0,,3,23754,23827
19825,512893.0,6634709.0,0,0,0,0,,4,23727,23799
19830,511166.0,6634543.0,0,0,0,0,,3,23773,23834
19831,840153.0,6634487.0,0,0,0,0,,3,23806,23836
19836,773683.0,6634318.0,0,0,0,0,,3,22652,23632
19837,509280.0,6634218.0,0,0,0,0,,3,23562,23843
19842,805537.0,6634152.0,0,0,0,0,,3,23668,23848
19846,805985.0,6633934.0,0,0,0,0,,3,23816,23849
19849,602998.0,6633843.0,0,0,0,0,,4,23805,23827
19850,840526.0,6633809.0,0,0,0,0,,4,23837,23857
19852,673287.0,6633739.0,0,0,0,0,,3,23733,23861
19853,510440.0,6633674.0,0,0,0,0,,3,23835,23863
19854,594658.0,6633672.0,0,0,0,0,,4,23810,23846
19857,709128.0,6633666.0,0,0,0,0,,3,23723,23851
19858,510065.0,6633657.0,0,0,0,0,,3,23843,23863
19859,842238.0,6633639.0,0,0,0,0,,4,23338,23857
19864,510143.0,6633422.0,0,0,0,0,,3,23864,23869
19865,845643.0,6633348.0,0,0,0,0,,3,23815,23877
19866,324712.0,6633297.0,0,0,0,0,,3,23713,23879
19872,921839.0,6632979.0,0,0,0,0,,3,23803,23887
19875,597775.0,6632932.0,0,0,0,0,,3,23811,23891
19877,921714.0,6632919.0,0,0,0,0,,3,23887,23894
19885,601116.0,6632800.0,0,0,0,0,,3,23856,23891
